date,realtime_start,realtime_end,value
1993-08-01,2025-01-15,2025-01-15,1300.0
1993-09-01,2025-01-15,2025-01-15,1343.0
1993-10-01,2025-01-15,2025-01-15,1392.0
1993-11-01,2025-01-15,2025-01-15,1376.0
1993-12-01,2025-01-15,2025-01-15,1533.0
1994-01-01,2025-01-15,2025-01-15,1272.0
1994-02-01,2025-01-15,2025-01-15,1337.0
1994-03-01,2025-01-15,2025-01-15,1564.0
1994-04-01,2025-01-15,2025-01-15,1465.0
1994-05-01,2025-01-15,2025-01-15,1526.0
1994-06-01,2025-01-15,2025-01-15,1409.0
1994-07-01,2025-01-15,2025-01-15,1439.0
1994-08-01,2025-01-15,2025-01-15,1450.0
1994-09-01,2025-01-15,2025-01-15,1474.0
1994-10-01,2025-01-15,2025-01-15,1450.0
1994-11-01,2025-01-15,2025-01-15,1511.0
1994-12-01,2025-01-15,2025-01-15,1455.0
1995-01-01,2025-01-15,2025-01-15,1407.0
1995-02-01,2025-01-15,2025-01-15,1316.0
1995-03-01,2025-01-15,2025-01-15,1249.0
1995-04-01,2025-01-15,2025-01-15,1267.0
1995-05-01,2025-01-15,2025-01-15,1314.0
1995-06-01,2025-01-15,2025-01-15,1281.0
1995-07-01,2025-01-15,2025-01-15,1461.0
1995-08-01,2025-01-15,2025-01-15,1416.0
1995-09-01,2025-01-15,2025-01-15,1369.0
1995-10-01,2025-01-15,2025-01-15,1369.0
1995-11-01,2025-01-15,2025-01-15,1452.0
1995-12-01,2025-01-15,2025-01-15,1431.0
1996-01-01,2025-01-15,2025-01-15,1467.0
1996-02-01,2025-01-15,2025-01-15,1491.0
1996-03-01,2025-01-15,2025-01-15,1424.0
1996-04-01,2025-01-15,2025-01-15,1516.0
1996-05-01,2025-01-15,2025-01-15,1504.0
1996-06-01,2025-01-15,2025-01-15,1467.0
1996-07-01,2025-01-15,2025-01-15,1472.0
1996-08-01,2025-01-15,2025-01-15,1557.0
1996-09-01,2025-01-15,2025-01-15,1475.0
1996-10-01,2025-01-15,2025-01-15,1392.0
1996-11-01,2025-01-15,2025-01-15,1489.0
1996-12-01,2025-01-15,2025-01-15,1370.0
1997-01-01,2025-01-15,2025-01-15,1355.0
1997-02-01,2025-01-15,2025-01-15,1486.0
1997-03-01,2025-01-15,2025-01-15,1457.0
1997-04-01,2025-01-15,2025-01-15,1492.0
1997-05-01,2025-01-15,2025-01-15,1442.0
1997-06-01,2025-01-15,2025-01-15,1494.0
1997-07-01,2025-01-15,2025-01-15,1437.0
1997-08-01,2025-01-15,2025-01-15,1390.0
1997-09-01,2025-01-15,2025-01-15,1546.0
1997-10-01,2025-01-15,2025-01-15,1520.0
1997-11-01,2025-01-15,2025-01-15,1510.0
1997-12-01,2025-01-15,2025-01-15,1566.0
1998-01-01,2025-01-15,2025-01-15,1525.0
1998-02-01,2025-01-15,2025-01-15,1584.0
1998-03-01,2025-01-15,2025-01-15,1567.0
1998-04-01,2025-01-15,2025-01-15,1540.0
1998-05-01,2025-01-15,2025-01-15,1536.0
1998-06-01,2025-01-15,2025-01-15,1641.0
1998-07-01,2025-01-15,2025-01-15,1698.0
1998-08-01,2025-01-15,2025-01-15,1614.0
1998-09-01,2025-01-15,2025-01-15,1582.0
1998-10-01,2025-01-15,2025-01-15,1715.0
1998-11-01,2025-01-15,2025-01-15,1660.0
1998-12-01,2025-01-15,2025-01-15,1792.0
1999-01-01,2025-01-15,2025-01-15,1748.0
1999-02-01,2025-01-15,2025-01-15,1670.0
1999-03-01,2025-01-15,2025-01-15,1710.0
1999-04-01,2025-01-15,2025-01-15,1553.0
1999-05-01,2025-01-15,2025-01-15,1611.0
1999-06-01,2025-01-15,2025-01-15,1559.0
1999-07-01,2025-01-15,2025-01-15,1669.0
1999-08-01,2025-01-15,2025-01-15,1648.0
1999-09-01,2025-01-15,2025-01-15,1635.0
1999-10-01,2025-01-15,2025-01-15,1608.0
1999-11-01,2025-01-15,2025-01-15,1648.0
1999-12-01,2025-01-15,2025-01-15,1708.0
2000-01-01,2025-01-15,2025-01-15,1636.0
2000-02-01,2025-01-15,2025-01-15,1737.0
2000-03-01,2025-01-15,2025-01-15,1604.0
2000-04-01,2025-01-15,2025-01-15,1626.0
2000-05-01,2025-01-15,2025-01-15,1575.0
2000-06-01,2025-01-15,2025-01-15,1559.0
2000-07-01,2025-01-15,2025-01-15,1463.0
2000-08-01,2025-01-15,2025-01-15,1541.0
2000-09-01,2025-01-15,2025-01-15,1507.0
2000-10-01,2025-01-15,2025-01-15,1549.0
2000-11-01,2025-01-15,2025-01-15,1551.0
2000-12-01,2025-01-15,2025-01-15,1532.0
2001-01-01,2025-01-15,2025-01-15,1600.0
2001-02-01,2025-01-15,2025-01-15,1625.0
2001-03-01,2025-01-15,2025-01-15,1590.0
2001-04-01,2025-01-15,2025-01-15,1649.0
2001-05-01,2025-01-15,2025-01-15,1605.0
2001-06-01,2025-01-15,2025-01-15,1636.0
2001-07-01,2025-01-15,2025-01-15,1670.0
2001-08-01,2025-01-15,2025-01-15,1567.0
2001-09-01,2025-01-15,2025-01-15,1562.0
2001-10-01,2025-01-15,2025-01-15,1540.0
2001-11-01,2025-01-15,2025-01-15,1602.0
2001-12-01,2025-01-15,2025-01-15,1568.0
2002-01-01,2025-01-15,2025-01-15,1698.0
2002-02-01,2025-01-15,2025-01-15,1829.0
2002-03-01,2025-01-15,2025-01-15,1642.0
2002-04-01,2025-01-15,2025-01-15,1592.0
2002-05-01,2025-01-15,2025-01-15,1764.0
2002-06-01,2025-01-15,2025-01-15,1717.0
2002-07-01,2025-01-15,2025-01-15,1655.0
2002-08-01,2025-01-15,2025-01-15,1633.0
2002-09-01,2025-01-15,2025-01-15,1804.0
2002-10-01,2025-01-15,2025-01-15,1648.0
2002-11-01,2025-01-15,2025-01-15,1753.0
2002-12-01,2025-01-15,2025-01-15,1788.0
2003-01-01,2025-01-15,2025-01-15,1853.0
2003-02-01,2025-01-15,2025-01-15,1629.0
2003-03-01,2025-01-15,2025-01-15,1726.0
2003-04-01,2025-01-15,2025-01-15,1643.0
2003-05-01,2025-01-15,2025-01-15,1751.0
2003-06-01,2025-01-15,2025-01-15,1867.0
2003-07-01,2025-01-15,2025-01-15,1897.0
2003-08-01,2025-01-15,2025-01-15,1833.0
2003-09-01,2025-01-15,2025-01-15,1939.0
2003-10-01,2025-01-15,2025-01-15,1967.0
2003-11-01,2025-01-15,2025-01-15,2083.0
2003-12-01,2025-01-15,2025-01-15,2057.0
2004-01-01,2025-01-15,2025-01-15,1911.0
2004-02-01,2025-01-15,2025-01-15,1846.0
2004-03-01,2025-01-15,2025-01-15,1998.0
2004-04-01,2025-01-15,2025-01-15,2003.0
2004-05-01,2025-01-15,2025-01-15,1981.0
2004-06-01,2025-01-15,2025-01-15,1828.0
2004-07-01,2025-01-15,2025-01-15,2002.0
2004-08-01,2025-01-15,2025-01-15,2024.0
2004-09-01,2025-01-15,2025-01-15,1905.0
2004-10-01,2025-01-15,2025-01-15,2072.0
2004-11-01,2025-01-15,2025-01-15,1782.0
2004-12-01,2025-01-15,2025-01-15,2042.0
2005-01-01,2025-01-15,2025-01-15,2144.0
2005-02-01,2025-01-15,2025-01-15,2207.0
2005-03-01,2025-01-15,2025-01-15,1864.0
2005-04-01,2025-01-15,2025-01-15,2061.0
2005-05-01,2025-01-15,2025-01-15,2025.0
2005-06-01,2025-01-15,2025-01-15,2068.0
2005-07-01,2025-01-15,2025-01-15,2054.0
2005-08-01,2025-01-15,2025-01-15,2095.0
2005-09-01,2025-01-15,2025-01-15,2151.0
2005-10-01,2025-01-15,2025-01-15,2065.0
2005-11-01,2025-01-15,2025-01-15,2147.0
2005-12-01,2025-01-15,2025-01-15,1994.0
2006-01-01,2025-01-15,2025-01-15,2273.0
2006-02-01,2025-01-15,2025-01-15,2119.0
2006-03-01,2025-01-15,2025-01-15,1969.0
2006-04-01,2025-01-15,2025-01-15,1821.0
2006-05-01,2025-01-15,2025-01-15,1942.0
2006-06-01,2025-01-15,2025-01-15,1802.0
2006-07-01,2025-01-15,2025-01-15,1737.0
2006-08-01,2025-01-15,2025-01-15,1650.0
2006-09-01,2025-01-15,2025-01-15,1720.0
2006-10-01,2025-01-15,2025-01-15,1491.0
2006-11-01,2025-01-15,2025-01-15,1570.0
2006-12-01,2025-01-15,2025-01-15,1649.0
2007-01-01,2025-01-15,2025-01-15,1409.0
2007-02-01,2025-01-15,2025-01-15,1480.0
2007-03-01,2025-01-15,2025-01-15,1495.0
2007-04-01,2025-01-15,2025-01-15,1490.0
2007-05-01,2025-01-15,2025-01-15,1415.0
2007-06-01,2025-01-15,2025-01-15,1448.0
2007-07-01,2025-01-15,2025-01-15,1354.0
2007-08-01,2025-01-15,2025-01-15,1330.0
2007-09-01,2025-01-15,2025-01-15,1183.0
2007-10-01,2025-01-15,2025-01-15,1264.0
2007-11-01,2025-01-15,2025-01-15,1197.0
2007-12-01,2025-01-15,2025-01-15,1037.0
2008-01-01,2025-01-15,2025-01-15,1084.0
2008-02-01,2025-01-15,2025-01-15,1103.0
2008-03-01,2025-01-15,2025-01-15,1005.0
2008-04-01,2025-01-15,2025-01-15,1013.0
2008-05-01,2025-01-15,2025-01-15,973.0
2008-06-01,2025-01-15,2025-01-15,1046.0
2008-07-01,2025-01-15,2025-01-15,923.0
2008-08-01,2025-01-15,2025-01-15,844.0
2008-09-01,2025-01-15,2025-01-15,820.0
2008-10-01,2025-01-15,2025-01-15,777.0
2008-11-01,2025-01-15,2025-01-15,652.0
2008-12-01,2025-01-15,2025-01-15,560.0
2009-01-01,2025-01-15,2025-01-15,490.0
2009-02-01,2025-01-15,2025-01-15,582.0
2009-03-01,2025-01-15,2025-01-15,505.0
2009-04-01,2025-01-15,2025-01-15,478.0
2009-05-01,2025-01-15,2025-01-15,540.0
2009-06-01,2025-01-15,2025-01-15,585.0
2009-07-01,2025-01-15,2025-01-15,594.0
2009-08-01,2025-01-15,2025-01-15,586.0
2009-09-01,2025-01-15,2025-01-15,585.0
2009-10-01,2025-01-15,2025-01-15,534.0
2009-11-01,2025-01-15,2025-01-15,588.0
2009-12-01,2025-01-15,2025-01-15,581.0
2010-01-01,2025-01-15,2025-01-15,614.0
2010-02-01,2025-01-15,2025-01-15,604.0
2010-03-01,2025-01-15,2025-01-15,636.0
2010-04-01,2025-01-15,2025-01-15,687.0
2010-05-01,2025-01-15,2025-01-15,583.0
2010-06-01,2025-01-15,2025-01-15,536.0
2010-07-01,2025-01-15,2025-01-15,546.0
2010-08-01,2025-01-15,2025-01-15,599.0
2010-09-01,2025-01-15,2025-01-15,594.0
2010-10-01,2025-01-15,2025-01-15,543.0
2010-11-01,2025-01-15,2025-01-15,545.0
2010-12-01,2025-01-15,2025-01-15,539.0
2011-01-01,2025-01-15,2025-01-15,630.0
2011-02-01,2025-01-15,2025-01-15,517.0
2011-03-01,2025-01-15,2025-01-15,600.0
2011-04-01,2025-01-15,2025-01-15,554.0
2011-05-01,2025-01-15,2025-01-15,561.0
2011-06-01,2025-01-15,2025-01-15,608.0
2011-07-01,2025-01-15,2025-01-15,623.0
2011-08-01,2025-01-15,2025-01-15,585.0
2011-09-01,2025-01-15,2025-01-15,650.0
2011-10-01,2025-01-15,2025-01-15,610.0
2011-11-01,2025-01-15,2025-01-15,711.0
2011-12-01,2025-01-15,2025-01-15,694.0
2012-01-01,2025-01-15,2025-01-15,723.0
2012-02-01,2025-01-15,2025-01-15,704.0
2012-03-01,2025-01-15,2025-01-15,695.0
2012-04-01,2025-01-15,2025-01-15,753.0
2012-05-01,2025-01-15,2025-01-15,708.0
2012-06-01,2025-01-15,2025-01-15,757.0
2012-07-01,2025-01-15,2025-01-15,740.0
2012-08-01,2025-01-15,2025-01-15,754.0
2012-09-01,2025-01-15,2025-01-15,847.0
2012-10-01,2025-01-15,2025-01-15,915.0
2012-11-01,2025-01-15,2025-01-15,833.0
2012-12-01,2025-01-15,2025-01-15,976.0
2013-01-01,2025-01-15,2025-01-15,888.0
2013-02-01,2025-01-15,2025-01-15,962.0
2013-03-01,2025-01-15,2025-01-15,1010.0
2013-04-01,2025-01-15,2025-01-15,835.0
2013-05-01,2025-01-15,2025-01-15,930.0
2013-06-01,2025-01-15,2025-01-15,839.0
2013-07-01,2025-01-15,2025-01-15,880.0
2013-08-01,2025-01-15,2025-01-15,917.0
2013-09-01,2025-01-15,2025-01-15,850.0
2013-10-01,2025-01-15,2025-01-15,925.0
2013-11-01,2025-01-15,2025-01-15,1100.0
2013-12-01,2025-01-15,2025-01-15,1002.0
2014-01-01,2025-01-15,2025-01-15,888.0
2014-02-01,2025-01-15,2025-01-15,944.0
2014-03-01,2025-01-15,2025-01-15,970.0
2014-04-01,2025-01-15,2025-01-15,1043.0
2014-05-01,2025-01-15,2025-01-15,1007.0
2014-06-01,2025-01-15,2025-01-15,911.0
2014-07-01,2025-01-15,2025-01-15,1085.0
2014-08-01,2025-01-15,2025-01-15,984.0
2014-09-01,2025-01-15,2025-01-15,1023.0
2014-10-01,2025-01-15,2025-01-15,1074.0
2014-11-01,2025-01-15,2025-01-15,1001.0
2014-12-01,2025-01-15,2025-01-15,1073.0
2015-01-01,2025-01-15,2025-01-15,1085.0
2015-02-01,2025-01-15,2025-01-15,886.0
2015-03-01,2025-01-15,2025-01-15,960.0
2015-04-01,2025-01-15,2025-01-15,1190.0
2015-05-01,2025-01-15,2025-01-15,1079.0
2015-06-01,2025-01-15,2025-01-15,1205.0
2015-07-01,2025-01-15,2025-01-15,1146.0
2015-08-01,2025-01-15,2025-01-15,1130.0
2015-09-01,2025-01-15,2025-01-15,1224.0
2015-10-01,2025-01-15,2025-01-15,1058.0
2015-11-01,2025-01-15,2025-01-15,1172.0
2015-12-01,2025-01-15,2025-01-15,1146.0
2016-01-01,2025-01-15,2025-01-15,1092.0
2016-02-01,2025-01-15,2025-01-15,1225.0
2016-03-01,2025-01-15,2025-01-15,1111.0
2016-04-01,2025-01-15,2025-01-15,1163.0
2016-05-01,2025-01-15,2025-01-15,1148.0
2016-06-01,2025-01-15,2025-01-15,1203.0
2016-07-01,2025-01-15,2025-01-15,1239.0
2016-08-01,2025-01-15,2025-01-15,1171.0
2016-09-01,2025-01-15,2025-01-15,1068.0
2016-10-01,2025-01-15,2025-01-15,1313.0
2016-11-01,2025-01-15,2025-01-15,1140.0
2016-12-01,2025-01-15,2025-01-15,1252.0
2017-01-01,2025-01-15,2025-01-15,1190.0
2017-02-01,2025-01-15,2025-01-15,1271.0
2017-03-01,2025-01-15,2025-01-15,1190.0
2017-04-01,2025-01-15,2025-01-15,1146.0
2017-05-01,2025-01-15,2025-01-15,1157.0
2017-06-01,2025-01-15,2025-01-15,1249.0
2017-07-01,2025-01-15,2025-01-15,1206.0
2017-08-01,2025-01-15,2025-01-15,1159.0
2017-09-01,2025-01-15,2025-01-15,1181.0
2017-10-01,2025-01-15,2025-01-15,1257.0
2017-11-01,2025-01-15,2025-01-15,1273.0
